name	x	y	z
AF3	-0.038593441247940063	0.0827639028429985	0.06633428484201431
F7	-0.07680979371070862	0.05580558255314827	0.03683328256011009
F3	-0.05177570879459381	0.06393767148256302	0.08764873445034027
FC5	-0.08434933423995972	0.032378677278757095	0.06950534880161285
T7	-0.0949421301484108	-5.813528742599248e-18	0.03683328256011009
P7	-0.07680979371070862	-0.05580558255314827	0.03683328256011009
O1	-0.02933873049914837	-0.09029532968997955	0.03683328256011009
O2	0.02933873049914837	-0.09029532968997955	0.03683328256011009
P8	0.07680979371070862	-0.05580558255314827	0.03683328256011009
T8	0.0949421301484108	5.813528742599248e-18	0.03683328256011009
FC6	0.08434933423995972	0.032378677278757095	0.06950534880161285
F4	0.05177570879459381	0.06393767148256302	0.08764873445034027
F8	0.07680979371070862	0.05580558255314827	0.03683328256011009
AF4	0.038593441247940063	0.0827639028429985	0.06633428484201431
